delivery_partner_key,delivery_partner_id,partner_name,city_key,vehicle_type,joined_date,rating
32,DP-762d6a67-6e9c-5fbd-a8cd-8b83ab999e2a,Gavin Batta,45,Motorcycle,2025-12-03,4.58
33,DP-e413d35b-5718-5b99-9ac6-de44a719bda6,Michael Dutta,5,Motorcycle,2024-04-04,4.6
34,DP-db31adbb-f0a7-5c82-a194-cdb226624b53,Devansh Rajan,6,Motorcycle,2023-07-06,4.24
35,DP-911ed123-5d5a-5191-aa3d-5a27be86f60e,Upadhriti Wadhwa,8,Motorcycle,2023-01-27,5.0
36,DP-55e66c46-991a-56ad-bb5d-ab690e597ce1,Advay Contractor,3,Motorcycle,2023-10-17,4.52
37,DP-e56fa3b4-6f1f-5317-98e1-3d28f1525235,Harini Choudhury,2,Motorcycle,2026-03-13,4.33
38,DP-932ebb06-e06d-5f12-bac0-bf3fb23607c2,Radhika Dugar,8,Motorcycle,2024-12-01,4.26
39,DP-2dc9d90a-c29d-5feb-a4ff-61db158b651a,Aarush Lall,3,Motorcycle,2026-06-23,3.94
40,DP-293c68bd-138c-51f7-98cb-f5176e890c9e,Yashica Cherian,15,Electric Scooter,2023-10-02,3.9
41,DP-42a2a721-f79e-585b-93b6-964c96934b7f,Yashica Issac,7,Motorcycle,2024-03-24,5.0
42,DP-dfbc39a9-e90d-58c2-a4e8-a44d4bd6b99b,Kashvi Edwin,27,Motorcycle,2023-07-28,3.92
43,DP-4c0aeaa9-2457-5377-a4c7-516c89cf6b7a,Ekiya Suresh,17,Motorcycle,2024-05-23,4.25
44,DP-df482394-0e9b-52eb-bd43-c40340602f2b,Isaac Patil,5,Motorcycle,2024-12-19,4.4
45,DP-35ddf20f-69bf-58fc-bd97-d874a8f4d47b,Wriddhish Bhardwaj,27,Bicycle,2025-10-28,4.44
46,DP-6dc99b00-6281-54c9-a343-0cb1942ab7bd,Farhan Chada,25,Motorcycle,2024-04-14,4.42
47,DP-f99d9ce8-81fb-5316-9e13-89bb77aa94c7,Ekapad Walia,6,Motorcycle,2025-09-11,4.43
48,DP-93eccb72-c47a-59f7-a7c0-6db44a9af5ee,Kabir Soman,4,Motorcycle,2025-03-09,4.64
49,DP-b3b65422-ab8e-5adc-9d5a-5b42a379e178,Alka Wable,16,Motorcycle,2024-01-08,4.34
50,DP-2928edbc-2c7e-5fbc-8f8e-f2972c598a21,Siddharth Zacharia,2,Motorcycle,2026-03-09,4.61
51,DP-25982fe3-6c55-5c12-85c5-ea35400ea414,Devika Rastogi,3,Motorcycle,2024-07-08,4.48
52,DP-210a3f86-e8a1-507b-a940-4d38e86713b7,Raksha Varughese,1,Motorcycle,2023-07-12,4.82
53,DP-ecc134d6-efed-59e1-b4b7-4d24d599ae33,Jai Kota,23,Bicycle,2026-05-13,4.82
54,DP-0785ca1d-503d-5745-b76b-eae07ad154ed,Devansh Nigam,15,Motorcycle,2026-03-11,4.35
55,DP-df7f721a-3e55-5371-af76-1ef9a6fdafc9,Victor Kannan,18,Motorcycle,2023-03-05,4.65
56,DP-10ce8885-b23b-54fa-9036-35bc2e6dea60,Ekavir Bhargava,23,Motorcycle,2026-02-25,4.88
57,DP-f4a57fc9-5b29-592f-9231-d095dc4c3dfd,Ekansh Balay,8,Electric Scooter,2026-04-23,4.18
58,DP-494acc5c-7289-5ca7-ba34-496ccdfb0e9e,Ekavir Varkey,11,Motorcycle,2025-11-23,4.48
59,DP-855d4238-9723-5e1d-8003-621e1ae31a8b,Arya Sunder,2,Motorcycle,2023-11-22,4.63
60,DP-98aa92d3-ea69-5860-af6e-ac2da61facea,Kevin Solanki,2,Motorcycle,2025-03-16,4.17
61,DP-a71f245e-8906-528b-a1a2-b0c4debc6d04,Urvashi Ray,15,Motorcycle,2024-11-17,5.0
62,DP-8da827aa-b496-5dc2-930c-1f23746cce71,Girindra Chatterjee,8,Electric Scooter,2025-03-02,4.38
63,DP-e07b288d-31bc-5909-b604-9df41f0f0461,Irya Sampath,11,Motorcycle,2025-02-25,5.0
64,DP-52d3c2ee-1af8-52d2-9637-f77acb2089c4,Unni Bhagat,22,Motorcycle,2025-03-26,4.33
65,DP-67d00715-c067-56b6-9e87-22be9aefc802,Darsh Rau,14,Motorcycle,2024-10-17,4.37
66,DP-1b19cf9a-c76a-5bf0-9310-04e60c8714ef,Ikbal Kothari,10,Motorcycle,2025-05-31,3.98
67,DP-8ec6db5d-2c1d-5a2c-8390-b8fb4d16c96c,Ranveer Yadav,10,Electric Scooter,2024-11-02,4.72
68,DP-6d4132aa-8832-5aaf-8efe-d72b8086d55d,Logan Sami,5,Electric Scooter,2023-01-22,4.13
69,DP-bc4f751c-540f-57f9-b4cb-077755e208a0,Arya Shere,1,Electric Scooter,2023-02-15,4.48
70,DP-494ebec4-63bd-518e-afa5-588ef7858851,Faqid Savant,7,Motorcycle,2026-05-07,4.24
71,DP-2f755138-d981-5a28-be56-0c0b16c99353,Chandresh Zachariah,3,Motorcycle,2026-03-06,4.61
72,DP-e75a3e34-5aa7-5431-99bc-73c62fd914f9,Girik Khalsa,7,Electric Scooter,2025-01-17,3.58
73,DP-e512eef1-219e-5324-ae0c-61549a7624ff,Niharika Sunder,30,Motorcycle,2023-08-11,4.56
74,DP-eaea4dd5-176b-54e4-99e6-7ed5b94a1607,Tanay Rattan,3,Motorcycle,2025-09-24,4.64
75,DP-49682b04-dcfc-5024-a221-23b827eddd43,Nitesh Raghavan,1,Motorcycle,2023-07-02,4.39
76,DP-77248953-df10-5357-8641-0ebc752f35c4,Madhavi Lanka,4,Motorcycle,2024-04-26,4.41
77,DP-cdf36a26-839f-505c-9c35-63b08cf61290,Bhavika Sampath,4,Motorcycle,2024-02-25,4.35
78,DP-e3328e09-4aed-5c25-adb6-5380d07bec4a,Mohammed Gupta,15,Bicycle,2023-01-16,4.48
79,DP-7a33bc5c-f738-5b51-8b04-d37e821e040b,Teerth Bhardwaj,10,Motorcycle,2025-10-26,5.0
80,DP-f3303527-b37a-5589-82a0-33cf332d2554,Dipta Bhandari,23,Motorcycle,2024-10-12,4.84
81,DP-68b99f5a-6303-5276-86fb-0e0f6f0825bf,Vansha Thakkar,15,Bicycle,2024-02-08,4.48
82,DP-2e118e4b-6027-5e12-96fe-7799c2a4fa3a,Dakshesh Trivedi,7,Motorcycle,2024-10-09,4.38
83,DP-a2b659ba-57fe-549b-80d8-fa373bc636ac,Quincy Biswas,25,Motorcycle,2023-01-01,4.8
84,DP-049ce0d0-19a1-538e-9914-fd279f48e85b,Wahab Raval,3,Motorcycle,2024-07-11,4.58
85,DP-6ad251b6-f5ad-54a0-8eb5-2455d5697c29,Yatin Baral,1,Motorcycle,2024-10-24,4.16
86,DP-3d7799da-cde0-5153-8119-11aa03cc99bf,Oni Virk,2,Motorcycle,2024-03-09,4.44
87,DP-771af28c-26cd-5994-8310-dd3d0403b549,Advika Jayaraman,19,Motorcycle,2025-11-25,5.0
88,DP-b6311eb3-5762-5736-8b88-b9a924d707d6,William Lanka,8,Motorcycle,2023-11-15,4.7
89,DP-64c3273e-faf6-55b4-b87c-ea8d80db8e71,Karan Mital,2,Motorcycle,2023-06-25,4.39
90,DP-d4174d90-fd5c-5b1c-ae84-7e41c641964a,Diya Bora,9,Motorcycle,2024-11-04,4.02
91,DP-3ed0112b-36c0-5069-9928-1540e0797d37,Tara Chaudhry,2,Motorcycle,2026-02-06,4.6
92,DP-ea2a906a-8f89-54ae-83ee-d9b850460550,Tanay Toor,17,Motorcycle,2024-04-23,4.53
93,DP-0be180e3-e7ca-553d-8a71-4b0b1f986aaf,Kevin Palla,7,Motorcycle,2023-03-01,4.47
94,DP-33f5e1ba-ee48-5ca7-8b61-ed869f3efa9d,Yash Pingle,6,Motorcycle,2026-05-22,4.8
95,DP-1e1cc220-0aac-588b-8a9f-5ed6d141fcbf,Nakul Sarma,5,Motorcycle,2024-07-20,4.71
96,DP-2cbd94b5-d68d-5826-9486-5e388f955da3,Abhiram Mistry,13,Motorcycle,2023-08-09,4.03
97,DP-30c888d8-68d0-5caf-a371-0ee8183ec3c6,Krish Lalla,6,Motorcycle,2025-02-24,4.53
98,DP-4364090d-87dc-5aa1-9ae4-0d9db2248941,Hredhaan Dugal,2,Motorcycle,2024-02-12,4.1
99,DP-9bf125d4-d7bf-5587-b766-4c64b0de9174,Baghyawati Kade,2,Bicycle,2026-04-11,4.36
100,DP-f2f58c17-322a-58db-8634-cf3b6ab01843,Samar Lalla,44,Motorcycle,2024-01-11,4.07
101,DP-2739d6c3-424b-58e7-966f-a043b14703ca,Zayan Behl,37,Electric Scooter,2024-12-02,4.09
102,DP-982299a1-e488-5f39-be34-6c3497371080,Pallavi Malhotra,17,Motorcycle,2024-11-24,3.9
103,DP-fe8a6378-6646-52f5-8944-2c7378585a7a,Aarush Nath,4,Electric Scooter,2023-11-06,4.65
104,DP-8a165c1c-d725-5892-a3ae-d2fe73ce861b,Adweta Edwin,45,Motorcycle,2024-09-29,4.61
105,DP-50d4065b-041a-52ab-9cbc-9b08a6491662,Prisha Andra,23,Motorcycle,2023-05-20,4.51
106,DP-3d72ef6f-26ab-5375-83b3-399173745d9d,Faqid Dixit,18,Motorcycle,2025-04-01,4.33
107,DP-168d91cb-9035-5018-a068-f4a417f40bb4,Kala Divan,8,Motorcycle,2025-08-25,4.05
108,DP-72aa94a5-af9d-5bb8-acee-407b6c2c4a1b,Joshua Barman,4,Motorcycle,2026-04-27,4.36
109,DP-b6706770-0617-5323-834c-f003bb799cee,Janya Baral,2,Motorcycle,2024-02-20,4.61
110,DP-fcd29616-ac2e-5568-aa91-0f43c3d3e222,Shivansh Krish,36,Electric Scooter,2023-12-30,4.6
111,DP-d0a54f12-2e2e-5a2a-a8ff-a44d6f5b0491,Irya Ray,8,Motorcycle,2024-12-01,4.99
112,DP-975c7fdd-5dea-53a3-8f8f-1ca1742394a2,Warjas Gaba,3,Motorcycle,2025-06-02,4.93
113,DP-d60734ef-5269-58c5-8bf2-43d39e218727,Nitara Bakshi,5,Motorcycle,2026-06-20,4.52
114,DP-42c1b4f2-4bab-552f-ae73-9160d00fea8f,Gaurangi Sabharwal,11,Motorcycle,2023-02-01,4.36
115,DP-299eb142-f5f6-53bc-98cd-5dcb0c8881a2,Amara Dutta,3,Motorcycle,2023-11-01,4.25
116,DP-a06374e6-aa93-5554-9532-00cc6ff5ac25,Lavanya Barad,30,Motorcycle,2023-12-01,4.01
117,DP-cc656904-96e9-535d-8677-f9c2263bd2f7,Tristan Iyengar,21,Motorcycle,2023-11-22,4.13
118,DP-2842e435-1d42-5897-a037-bebed40d78e0,Inaya Mody,18,Motorcycle,2024-08-14,3.94
119,DP-2769c8d1-1fc3-5fb8-86ef-b01fa963e582,Udant Bajwa,7,Electric Scooter,2026-01-18,5.0
120,DP-49ab5198-431c-51c2-81a6-c8bb93f9f2fe,Mohini Narasimhan,13,Electric Scooter,2023-02-09,4.61
121,DP-87877930-7157-52a5-8abd-72177b736749,Ekaraj Mallick,11,Motorcycle,2025-11-07,4.73
122,DP-e1813fed-b2c7-5622-9c4b-83354baac360,Yashodhara Ratta,14,Motorcycle,2025-02-27,4.42
123,DP-2b6c1bd7-01c5-5de0-9edb-1316365c7822,Ayaan D’Alia,2,Motorcycle,2025-02-23,5.0
124,DP-c00ce46e-be3d-5b13-86a6-c009d50c6f5b,Pranav Lanka,7,Motorcycle,2025-05-15,4.13
125,DP-770e1c12-e7dd-5492-bed7-573a81a1b932,Ikbal Saraf,1,Motorcycle,2023-05-28,3.98
126,DP-7722eb59-de2d-52c4-b363-243b0c76d377,Dipta Sarin,9,Bicycle,2025-08-10,5.0
127,DP-a3b70737-c9bf-537c-b1a1-ecba7a057325,Lekha Gupta,5,Motorcycle,2023-11-13,4.04
128,DP-967e3512-0404-5aee-983f-fcd907aaa073,Chaitanya Sarin,2,Motorcycle,2024-10-21,4.41
129,DP-c457d9a4-1c49-5fb0-9096-328cae9dc2a6,Zinal Yohannan,2,Motorcycle,2025-05-13,4.27
130,DP-1fc1c1ec-cde5-5665-93f1-a4ffb1402d43,Januja Sankar,12,Motorcycle,2025-02-09,4.64
131,DP-ed39edb3-f7a9-5bd6-98a8-2d050f16f9df,Ganga Murthy,3,Electric Scooter,2024-02-17,4.39
132,DP-debf6704-6410-5e1a-b21b-4f983c8c51bd,Charita Tripathi,39,Motorcycle,2024-05-20,4.73
133,DP-f3e45a2a-37f5-5f0c-8cf0-13764c241801,Nilima Narain,11,Motorcycle,2024-08-31,4.81
134,DP-f5416c4d-738e-5930-8915-a41e738439cf,Chakrika Datta,5,Motorcycle,2023-02-22,4.0
135,DP-d48c38e9-4644-5fb6-83db-ca8ea645ccfe,Osha Raghavan,12,Motorcycle,2025-07-15,4.24
136,DP-e6c58eac-c191-58b3-ba16-9ac7ffce2334,Charvi Ravi,1,Motorcycle,2023-05-08,4.76
137,DP-49f7cad1-0ef1-5e0e-b431-3f19335a05d2,Daksha Mangat,44,Bicycle,2024-08-08,4.88
138,DP-8d142743-397f-57be-9338-fa43f7039e25,Qushi Nagy,8,Motorcycle,2025-04-15,4.57
139,DP-9895b891-0765-5cf4-9bcd-845c5f5dfca4,Riya Sathe,23,Motorcycle,2023-04-13,4.66
140,DP-3696517d-8a41-5339-9ca4-6dfedabc7a7d,Yasti Solanki,1,Motorcycle,2026-06-24,5.0
141,DP-cc64b3b2-c908-5032-a3a4-30e1d5ad5862,Frado Mander,8,Motorcycle,2024-04-26,4.39
142,DP-95d78b82-d25d-5b8f-9967-ff1ff39c0936,Girik Keer,9,Motorcycle,2023-01-21,4.57
143,DP-abde7dd9-04ea-5a42-b7c9-a99611af0a47,Umang Issac,41,Motorcycle,2025-04-20,4.93
144,DP-6e620eb6-fd1f-51de-a2eb-745d0b4ef9cb,Aryan Batra,11,Motorcycle,2024-12-12,4.96
145,DP-6ac54ece-0f06-514c-9570-465f04516f11,Vaishnavi Bora,8,Motorcycle,2025-03-28,4.48
146,DP-114143af-8b07-5880-b418-7601f1c704a2,Oeshi Hayer,4,Motorcycle,2025-08-16,4.25
147,DP-7230f057-0a39-5367-bcc2-4c0987476ff2,Warda Ratta,5,Motorcycle,2024-08-29,4.48
148,DP-5e2b1ec5-52de-51c9-93c4-b4d0763f2bd7,Manbir Ahluwalia,9,Motorcycle,2025-11-20,4.51
149,DP-74eeee8b-5aad-56fb-9481-29635219e5c5,Pavani Kanda,7,Motorcycle,2024-04-17,4.23
150,DP-0b2d71fa-68cc-5fc2-8356-2d24b608a6b8,Zarna Shetty,1,Motorcycle,2024-11-26,4.28
151,DP-6ce07bf5-b675-50f7-8493-91b60fe32ad1,Zaid Dara,27,Motorcycle,2023-07-22,4.96
152,DP-0a1b5a19-0376-50e7-b2e0-32bd52d66f51,Kiaan Shetty,35,Bicycle,2025-03-02,4.68
153,DP-49ca84d7-8298-50ec-81d4-d0e71bdb440f,Saanvi Thaman,2,Electric Scooter,2023-11-30,4.42
154,DP-76ba1019-95fe-54b8-83f5-0eca65b90d5f,Sanaya Dutt,10,Bicycle,2025-06-08,4.15
155,DP-fa76cf78-68da-5c70-afe2-a75e9eb2b498,Shivani Lad,2,Motorcycle,2025-10-19,4.28
156,DP-293f03bb-b4d3-5708-96f6-3f1c06035cbf,Aradhana Verma,16,Motorcycle,2026-01-01,3.95
157,DP-1afb9e03-be82-5bff-8b5a-f8fd2ce1b2ce,William Maharaj,4,Bicycle,2026-03-31,4.58
158,DP-522bf47d-e848-51ae-945d-2864d47197eb,Faras Mangal,15,Motorcycle,2023-06-06,4.27
159,DP-fe5d77cf-1c22-5c3e-a817-42fac35fe738,Anita Nayak,19,Motorcycle,2023-06-26,4.61
160,DP-670756fb-f142-5e91-be78-036a61cc5c8a,Faris Devi,22,Motorcycle,2026-03-27,4.76
161,DP-6b7d2ef3-f9d0-53ee-88bd-44f2c9ef60ce,Vihaan Rajagopal,2,Motorcycle,2024-04-30,4.61
162,DP-8a008a61-8247-5441-8a54-eaa9396a61ab,Tanish Bhatt,38,Motorcycle,2023-02-03,4.37
163,DP-4e37e926-d149-5398-b060-102c3eccfd40,Nikita Narayanan,3,Motorcycle,2024-01-02,4.22
164,DP-dea1c94d-9ab6-56d1-a2df-e19b5573f96c,Ojasvi Bhatia,1,Motorcycle,2025-12-02,4.11
165,DP-25b1c88d-b0af-5d51-8a4f-9dd9481ed184,Osha Ramachandran,10,Motorcycle,2024-03-28,4.92
166,DP-3139c3e7-959b-5ac3-b893-2db1ed0c7848,Lajita Sood,6,Motorcycle,2023-04-08,4.6
167,DP-9b6c70be-3775-53ee-96b9-2dd307dc4ea8,Indira Misra,27,Electric Scooter,2025-07-10,4.39
168,DP-8f2e2410-4701-50c5-be2f-174c72478f7e,Oni Yohannan,25,Motorcycle,2023-09-06,4.71
169,DP-a7e01179-fbb7-56ab-bb6e-ab9a5d97de64,Vinaya Kanda,5,Motorcycle,2024-03-26,4.85
170,DP-1c5c0d6b-f9d2-5891-bd85-bf94cec8fc33,Rajata Sunder,43,Motorcycle,2023-01-05,4.27
171,DP-6d2e5b94-4fdd-5424-9128-e70b37d15a8a,Lopa Nayar,4,Motorcycle,2025-02-07,4.59
172,DP-7f3e6359-cf7a-586d-9322-6d4df8979365,Noah Sibal,9,Motorcycle,2024-07-22,4.6
173,DP-dde746f7-8d63-5135-8eaf-60630d5b8f88,Avi Ramesh,4,Motorcycle,2026-01-11,5.0
174,DP-40627f0e-06a5-51eb-809a-556971a7fc12,Fiyaz Sangha,40,Electric Scooter,2024-03-02,4.39
175,DP-cb8fcf67-80f8-5b2a-a1d8-8f25ddead59e,Triya Gopal,3,Motorcycle,2023-09-19,4.21
176,DP-22a178ba-1b02-5227-a044-bb8d880705a9,Abha Raghavan,1,Motorcycle,2023-07-31,4.63
177,DP-0f339f46-9a19-5cb8-92b3-f5d4d2a10e06,Siddharth Sha,7,Motorcycle,2023-09-13,4.74
178,DP-6edaa035-0020-5dd3-938d-b31d960bb2b2,Geetika Raghavan,49,Motorcycle,2024-07-29,4.56
179,DP-325243e4-ae98-5f73-974a-3e80a9c9c71f,Oviya Krishnan,34,Motorcycle,2023-04-22,5.0
180,DP-e3c7ccda-bc9d-5c73-a3d8-170250ef482a,Upma Bahl,20,Bicycle,2024-05-28,4.39
181,DP-dbc360d2-698d-5cae-8518-018dad7b244e,Inaya Kapur,34,Motorcycle,2025-12-26,4.57
182,DP-0bcff566-d466-5663-bec0-274fb63e91b8,Banjeet Balasubramanian,35,Motorcycle,2025-09-06,4.03
183,DP-4e7af66e-d81a-5ff3-ae63-c52473d99ced,Ryan Bahri,9,Bicycle,2025-03-24,4.19
184,DP-0bb454ee-64b0-5126-b161-e06b64dcf775,William Date,5,Motorcycle,2026-02-13,4.27
185,DP-ca3b484e-6cce-51f3-ac48-56677c639673,Ishwar Kamdar,22,Bicycle,2025-09-22,4.44
186,DP-7fb1034b-2c5b-5751-978d-67742eff011b,Aahana Pillay,15,Motorcycle,2025-04-12,4.07
187,DP-de2d8d2e-5845-508c-bf86-3dd22d22f86b,Ishwar Gade,6,Motorcycle,2026-01-06,4.71
188,DP-359e9a6e-7586-5963-8c5c-06fd5c12d7b2,Hritik Bal,2,Motorcycle,2023-06-08,4.25
189,DP-13b089eb-631d-5f91-994a-95a69f4ecfc4,Keya Ranganathan,20,Electric Scooter,2025-11-10,5.0
190,DP-410535a4-ee25-586f-bdf2-807f71029b73,Faqid Kibe,4,Motorcycle,2024-01-12,4.26
191,DP-b1c48eb0-e451-5593-aacd-bda088ff1017,Charvi Dara,41,Motorcycle,2025-07-24,4.53
192,DP-aa72e00f-4eb1-59d3-8f9f-b3410f817847,Idika Walia,4,Motorcycle,2026-03-11,4.49
193,DP-f4807f66-bf53-5c25-bbf9-7531cb58c941,Kamala Biswas,2,Bicycle,2024-09-24,4.16
194,DP-f28b9ddc-9cad-5c18-a1c5-2102b447d18e,Advik Salvi,27,Bicycle,2023-04-24,4.44
195,DP-b22b8a62-93c2-5d56-bc60-a9479cbc39f7,Hitesh Sant,2,Motorcycle,2024-04-17,4.44
196,DP-e9c740ca-5ae0-50d3-bb2d-994e8e1fe4b7,Tripti Dua,3,Motorcycle,2024-06-03,4.81
197,DP-08bc8e0c-d63d-5dcf-a38a-b5f29367f931,Patrick Vig,12,Motorcycle,2026-04-10,4.64
198,DP-8a998d94-6c45-549b-8542-9520fda57859,Veda Shroff,32,Motorcycle,2026-04-17,4.7
199,DP-cd0d7860-e1ff-5480-8f30-712059e31ba0,Amrita Naidu,3,Motorcycle,2024-12-26,4.8
200,DP-ba9060f9-5c07-509a-8e9e-b0a427d9daa3,Gabriel Mallick,5,Motorcycle,2026-04-28,4.71
201,DP-5484bed4-79d8-5539-8ff7-12f4f9fbc02a,Yagnesh Shetty,22,Motorcycle,2024-07-10,4.59
202,DP-9da9c5ef-7abb-5d06-aca7-73cba0571107,Gayathri Balakrishnan,46,Motorcycle,2024-06-08,4.27
203,DP-3effbc65-2312-51b5-ba2f-125a92234999,Ekta Gopal,9,Motorcycle,2025-12-03,4.56
204,DP-0edcf9cd-d601-5170-a7b9-89349b0a95da,Simon Pant,2,Motorcycle,2025-05-01,4.21
205,DP-a940ea79-b5e7-5e6c-8ba7-090d869a1764,Harini Mammen,1,Motorcycle,2024-10-28,4.47
206,DP-f2c67b2d-0209-58da-b061-12956752aadd,Advaith Varughese,3,Motorcycle,2024-08-05,4.42
207,DP-5eaf924c-5111-52d2-ab65-9bf900264c46,Frederick Khurana,2,Motorcycle,2025-06-19,4.44
208,DP-2e075b8f-dd49-537c-bce5-9ac784ddc883,Vrinda Khosla,16,Motorcycle,2025-08-19,4.07
209,DP-cfe5cc4e-4bf7-5754-bf01-069841d16a12,Vritti Sem,2,Motorcycle,2024-09-17,3.59
210,DP-368c37c8-1d0e-56ba-adf9-d041100f2f1d,Girik Menon,9,Motorcycle,2023-02-10,4.36
211,DP-439c147f-246d-585e-bb3b-0ad356bbaab3,Nidhi Kohli,17,Motorcycle,2023-05-10,4.89
212,DP-55a5c2a1-5b0e-5338-871f-c8b24d48b035,Jyoti Solanki,11,Electric Scooter,2023-07-03,4.53
213,DP-d042bd7a-afb6-5a28-b89d-b6de4f0b7df9,Pavani Narayanan,3,Electric Scooter,2024-08-12,4.86
214,DP-258d0e4b-4fdd-5846-9dc1-e368ce26e45a,Sudiksha Madan,25,Motorcycle,2025-02-22,4.21
215,DP-78f54d93-7e3e-5f9e-abd0-ed4ae98aea90,Zayan Kashyap,18,Motorcycle,2025-10-22,4.35
216,DP-449fc96e-3cc4-54dd-904e-83ae5d4aa33c,Reyansh Mutti,20,Bicycle,2023-10-24,5.0
217,DP-a57c08a6-4995-5550-9b54-ae434e5c6860,Qasim Handa,2,Motorcycle,2025-09-30,4.23
218,DP-19d8f0ec-6c54-54d0-bcd5-94b709aea894,Veda Malhotra,2,Motorcycle,2025-04-29,4.69
219,DP-48393ad9-51c4-5b2a-be71-fd2d1b73de9f,Harish Hari,39,Motorcycle,2023-03-07,4.69
220,DP-5200d40b-c5ad-5079-ab8f-eccd6e779f0b,Utkarsh Patel,6,Bicycle,2024-03-24,4.65
221,DP-bfa3f86b-0c9c-5228-bb00-37ae58ddffdd,Chasmum Atwal,5,Motorcycle,2024-01-22,4.7
222,DP-66f5a645-eb8e-54b9-baa6-99dd66e259ba,Anusha Bath,8,Electric Scooter,2026-02-05,4.23
223,DP-6b49ce22-8f01-5643-9817-6e8520f12c88,Brinda Date,15,Motorcycle,2026-03-21,4.38
224,DP-00c76686-cf36-5bb9-a481-b1178f0cdd23,Harshil Arora,43,Bicycle,2025-11-11,3.65
225,DP-ca62e783-27f2-56b4-b71d-0b0a4a944cbe,Upasna Srinivas,4,Motorcycle,2024-11-04,5.0
226,DP-f8b1e413-11c6-5852-9e61-5d5c9eb85685,Harini Gour,39,Motorcycle,2024-09-20,4.7
